Longitude,Latitude,trees,greenery,buidling footpring,roads,paving,SUM_AsthmaHospitalizationsAdults_AverageAnnual,Total_Population,SUM_WeightedMHI,MEAN_heightroof,SUM_Volume,RegressionTree_pm,SVM_pm
-73.89926114,40.88787281,69722.4,40006.78,51633.032,57359.632,87563.476,2,1638.537289,61406.51343,37.27637254,15066943.22,12.48889753,9.648650504
,,,,,,,,,,,,,
-73.89820195,40.88997549,86647.22,69682.272,43164.352,34186.548,72156.832,1,936.9886088,64111.03325,41.16165705,19103804.36,12.48889753,9.749683385
,,,,,,,,,,,,,
-73.8996556,40.88660975,57696.54,25088.36,56751.024,66185.284,102319.712,3,2157.150989,64293.43991,31.59552941,15259845.23,10.13865037,9.653432641
,,,,,,,,,,,,,
-73.89743118,40.8915564,86948.18,99852.676,34347.06,28166.512,57118.028,0,695.9492516,66274.06082,36.7687012,12891188.83,10.61905118,9.59504561
,,,,,,,,,,,,,
-73.89643557,40.89365602,59541.592,158248.112,24931.192,21090.608,38150.024,0,525.1925674,63035.86974,35.62990505,9501821.393,10.61905118,9.512801873
,,,,,,,,,,,,,
-73.89672041,40.89589639,75990.728,149116.484,26197.732,22923.12,34090.408,1,595.8957666,65911.30738,32.82484679,9380347.054,9.33596796,9.509883799
,,,,,,,,,,,,,
-73.89702991,40.89813532,115289.416,105598.504,23851.916,35981.44,28924.764,1,607.8064753,66395.70258,33.38919123,6654142.435,12.48889753,9.444951221
,,,,,,,,,,,,,
-73.89701995,40.90037632,139732.384,76522.424,24245.672,36047.484,33093.896,1,617.9963914,66810.11712,29.38627998,5164254.029,9.33596796,9.409926567
,,,,,,,,,,,,,
-73.89651007,40.90259381,149208.444,55133.364,26529.624,37524.696,41248.24,0,576.9650184,65141.40483,28.32291269,9172859.935,9.33596796,9.504904382
,,,,,,,,,,,,,
-73.89642568,40.90483357,156037.728,55403.392,32537.12,28624.64,35228.204,1,593.6709842,65820.82114,29.69206841,12485331.92,9.33596796,9.585115099
,,,,,,,,,,,,,
-73.8965279,40.90708344,179482.512,41592.672,33238.524,28610.428,24906.948,1,599.3515077,66051.84036,29.96347519,10287123.9,9.33596796,9.531716663
,,,,,,,,,,,,,
-73.89659025,40.90933409,151102.82,42366.808,30771.488,22199.98,18522.416,1,595.8046091,64620.06029,28.61193661,9658911.965,9.33596796,9.516578707
,,,,,,,,,,,,,
-73.89663476,40.91142567,79175.052,26374.964,20449.396,15300.472,12131.196,0,368.8505,35716.01771,28.44185961,5557541.949,9.366653395,9.419139766
